"Filename","New_Process_Name"
"arp.exe","c:\windows\syswow64\arp.exe"
"at.exe","c:\windows\syswow64\at.exe"
"atbroker.exe","c:\windows\syswow64\atbroker.exe"
"attrib.exe","c:\windows\syswow64\attrib.exe"
"auditpol.exe","c:\windows\syswow64\auditpol.exe"
"autochk.exe","c:\windows\syswow64\autochk.exe"
"autoconv.exe","c:\windows\syswow64\autoconv.exe"
"autofmt.exe","c:\windows\syswow64\autofmt.exe"
"backgroundtaskhost.exe","c:\windows\syswow64\backgroundtaskhost.exe"
"backgroundtransferhost.exe","c:\windows\syswow64\backgroundtransferhost.exe"
"bitsadmin.exe","c:\windows\syswow64\bitsadmin.exe"
"bootcfg.exe","c:\windows\syswow64\bootcfg.exe"
"bytecodegenerator.exe","c:\windows\syswow64\bytecodegenerator.exe"
"cacls.exe","c:\windows\syswow64\cacls.exe"
"calc.exe","c:\windows\syswow64\calc.exe"
"certenrollctrl.exe","c:\windows\syswow64\certenrollctrl.exe"
"certreq.exe","c:\windows\syswow64\certreq.exe"
"certutil.exe","c:\windows\syswow64\certutil.exe"
"change.exe","c:\windows\syswow64\change.exe"
"checknetisolation.exe","c:\windows\syswow64\checknetisolation.exe"
"chglogon.exe","c:\windows\syswow64\chglogon.exe"
"chgport.exe","c:\windows\syswow64\chgport.exe"
"chgusr.exe","c:\windows\syswow64\chgusr.exe"
"chkdsk.exe","c:\windows\syswow64\chkdsk.exe"
"chkntfs.exe","c:\windows\syswow64\chkntfs.exe"
"choice.exe","c:\windows\syswow64\choice.exe"
"cipher.exe","c:\windows\syswow64\cipher.exe"
"cliconfg.exe","c:\windows\syswow64\cliconfg.exe"
"clip.exe","c:\windows\syswow64\clip.exe"
"cmd.exe","c:\windows\syswow64\cmd.exe"
"cmdkey.exe","c:\windows\syswow64\cmdkey.exe"
"cmdl32.exe","c:\windows\syswow64\cmdl32.exe"
"cmmon32.exe","c:\windows\syswow64\cmmon32.exe"
"cmstp.exe","c:\windows\syswow64\cmstp.exe"
"colorcpl.exe","c:\windows\syswow64\colorcpl.exe"
"comp.exe","c:\windows\syswow64\comp.exe"
"compact.exe","c:\windows\syswow64\compact.exe"
"computerdefaults.exe","c:\windows\syswow64\computerdefaults.exe"
"control.exe","c:\windows\syswow64\control.exe"
"convert.exe","c:\windows\syswow64\convert.exe"
"credentialuibroker.exe","c:\windows\syswow64\credentialuibroker.exe"
"credwiz.exe","c:\windows\syswow64\credwiz.exe"
"cscript.exe","c:\windows\syswow64\cscript.exe"
"csvde.exe","c:\windows\syswow64\csvde.exe"
"ctfmon.exe","c:\windows\syswow64\ctfmon.exe"
"cttune.exe","c:\windows\syswow64\cttune.exe"
"cttunesvr.exe","c:\windows\syswow64\cttunesvr.exe"
"dcdiag.exe","c:\windows\syswow64\dcdiag.exe"
"dcgpofix.exe","c:\windows\syswow64\dcgpofix.exe"
"dcomcnfg.exe","c:\windows\syswow64\dcomcnfg.exe"
"ddodiag.exe","c:\windows\syswow64\ddodiag.exe"
"devicepairingwizard.exe","c:\windows\syswow64\devicepairingwizard.exe"
"deviceproperties.exe","c:\windows\syswow64\deviceproperties.exe"
"dfrgui.exe","c:\windows\syswow64\dfrgui.exe"
"dfsfrshost.exe","c:\windows\syswow64\dfsfrshost.exe"
"dialer.exe","c:\windows\syswow64\dialer.exe"
"diskpart.exe","c:\windows\syswow64\diskpart.exe"
"diskperf.exe","c:\windows\syswow64\diskperf.exe"
"diskraid.exe","c:\windows\syswow64\diskraid.exe"
"diskshadow.exe","c:\windows\syswow64\diskshadow.exe"
"dism.exe","c:\windows\syswow64\dism.exe"
"displayswitch.exe","c:\windows\syswow64\displayswitch.exe"
"dllhost.exe","c:\windows\syswow64\dllhost.exe"
"dllhst3g.exe","c:\windows\syswow64\dllhst3g.exe"
"doskey.exe","c:\windows\syswow64\doskey.exe"
"dpapimig.exe","c:\windows\syswow64\dpapimig.exe"
"dpiscaling.exe","c:\windows\syswow64\dpiscaling.exe"
"dplaysvr.exe","c:\windows\syswow64\dplaysvr.exe"
"dpnsvr.exe","c:\windows\syswow64\dpnsvr.exe"
"driverquery.exe","c:\windows\syswow64\driverquery.exe"
"drvinst.exe","c:\windows\syswow64\drvinst.exe"
"dsacls.exe","c:\windows\syswow64\dsacls.exe"
"dsadd.exe","c:\windows\syswow64\dsadd.exe"
"dsdbutil.exe","c:\windows\syswow64\dsdbutil.exe"
"dsget.exe","c:\windows\syswow64\dsget.exe"
"dsmgmt.exe","c:\windows\syswow64\dsmgmt.exe"
"dsmod.exe","c:\windows\syswow64\dsmod.exe"
"dsmove.exe","c:\windows\syswow64\dsmove.exe"
"dsquery.exe","c:\windows\syswow64\dsquery.exe"
"dsrm.exe","c:\windows\syswow64\dsrm.exe"
"dvdplay.exe","c:\windows\syswow64\dvdplay.exe"
"dvdupgrd.exe","c:\windows\syswow64\dvdupgrd.exe"
"dwwin.exe","c:\windows\syswow64\dwwin.exe"
"dxdiag.exe","c:\windows\syswow64\dxdiag.exe"
"easeofaccessdialog.exe","c:\windows\syswow64\easeofaccessdialog.exe"
"efsui.exe","c:\windows\syswow64\efsui.exe"
"esentutl.exe","c:\windows\syswow64\esentutl.exe"
"eventcreate.exe","c:\windows\syswow64\eventcreate.exe"
"eventvwr.exe","c:\windows\syswow64\eventvwr.exe"
"expand.exe","c:\windows\syswow64\expand.exe"
"explorer.exe","c:\windows\syswow64\explorer.exe"
"extrac32.exe","c:\windows\syswow64\extrac32.exe"
"fc.exe","c:\windows\syswow64\fc.exe"
"find.exe","c:\windows\syswow64\find.exe"
"findstr.exe","c:\windows\syswow64\findstr.exe"
"finger.exe","c:\windows\syswow64\finger.exe"
"fixmapi.exe","c:\windows\syswow64\fixmapi.exe"
"fltmc.exe","c:\windows\syswow64\fltmc.exe"
"fondue.exe","c:\windows\syswow64\fondue.exe"
"fontview.exe","c:\windows\syswow64\fontview.exe"
"forfiles.exe","c:\windows\syswow64\forfiles.exe"
"fsutil.exe","c:\windows\syswow64\fsutil.exe"
"ftp.exe","c:\windows\syswow64\ftp.exe"
"getmac.exe","c:\windows\syswow64\getmac.exe"
"gpfixup.exe","c:\windows\syswow64\gpfixup.exe"
"gpresult.exe","c:\windows\syswow64\gpresult.exe"
"gpscript.exe","c:\windows\syswow64\gpscript.exe"
"gpupdate.exe","c:\windows\syswow64\gpupdate.exe"
"grpconv.exe","c:\windows\syswow64\grpconv.exe"
"hdwwiz.exe","c:\windows\syswow64\hdwwiz.exe"
"help.exe","c:\windows\syswow64\help.exe"
"hh.exe","c:\windows\syswow64\hh.exe"
"hostname.exe","c:\windows\syswow64\hostname.exe"
"iashost.exe","c:\windows\syswow64\iashost.exe"
"icacls.exe","c:\windows\syswow64\icacls.exe"
"icsunattend.exe","c:\windows\syswow64\icsunattend.exe"
"ieunatt.exe","c:\windows\syswow64\ieunatt.exe"
"iexpress.exe","c:\windows\syswow64\iexpress.exe"
"infdefaultinstall.exe","c:\windows\syswow64\infdefaultinstall.exe"
"instnm.exe","c:\windows\syswow64\instnm.exe"
"ipconfig.exe","c:\windows\syswow64\ipconfig.exe"
"iscsicli.exe","c:\windows\syswow64\iscsicli.exe"
"iscsicpl.exe","c:\windows\syswow64\iscsicpl.exe"
"klist.exe","c:\windows\syswow64\klist.exe"
"ksetup.exe","c:\windows\syswow64\ksetup.exe"
"ktmutil.exe","c:\windows\syswow64\ktmutil.exe"
"ktpass.exe","c:\windows\syswow64\ktpass.exe"
"label.exe","c:\windows\syswow64\label.exe"
"launchtm.exe","c:\windows\syswow64\launchtm.exe"
"ldifde.exe","c:\windows\syswow64\ldifde.exe"
"ldp.exe","c:\windows\syswow64\ldp.exe"
"licensingdiag.exe","c:\windows\syswow64\licensingdiag.exe"
"lodctr.exe","c:\windows\syswow64\lodctr.exe"
"logman.exe","c:\windows\syswow64\logman.exe"
"logoff.exe","c:\windows\syswow64\logoff.exe"
"magnify.exe","c:\windows\syswow64\magnify.exe"
"makecab.exe","c:\windows\syswow64\makecab.exe"
"mcbuilder.exe","c:\windows\syswow64\mcbuilder.exe"
"mmc.exe","c:\windows\syswow64\mmc.exe"
"mountvol.exe","c:\windows\syswow64\mountvol.exe"
"mrinfo.exe","c:\windows\syswow64\mrinfo.exe"
"msdt.exe","c:\windows\syswow64\msdt.exe"
"msfeedssync.exe","c:\windows\syswow64\msfeedssync.exe"
"msg.exe","c:\windows\syswow64\msg.exe"
"mshta.exe","c:\windows\syswow64\mshta.exe"
"msiexec.exe","c:\windows\syswow64\msiexec.exe"
"msinfo32.exe","c:\windows\syswow64\msinfo32.exe"
"mspaint.exe","c:\windows\syswow64\mspaint.exe"
"msspellcheckinghost.exe","c:\windows\syswow64\msspellcheckinghost.exe"
"mstsc.exe","c:\windows\syswow64\mstsc.exe"
"mtstocom.exe","c:\windows\syswow64\mtstocom.exe"
"muiunattend.exe","c:\windows\syswow64\muiunattend.exe"
"napstat.exe","c:\windows\syswow64\napstat.exe"
"narrator.exe","c:\windows\syswow64\narrator.exe"
"ndadmin.exe","c:\windows\syswow64\ndadmin.exe"
"net.exe","c:\windows\syswow64\net.exe"
"net1.exe","c:\windows\syswow64\net1.exe"
"netbtugc.exe","c:\windows\syswow64\netbtugc.exe"
"netdom.exe","c:\windows\syswow64\netdom.exe"
"netiougc.exe","c:\windows\syswow64\netiougc.exe"
"netplwiz.exe","c:\windows\syswow64\netplwiz.exe"
"netsh.exe","c:\windows\syswow64\netsh.exe"
"netstat.exe","c:\windows\syswow64\netstat.exe"
"newdev.exe","c:\windows\syswow64\newdev.exe"
"nltest.exe","c:\windows\syswow64\nltest.exe"
"notepad.exe","c:\windows\syswow64\notepad.exe"
"nslookup.exe","c:\windows\syswow64\nslookup.exe"
"ntdsutil.exe","c:\windows\syswow64\ntdsutil.exe"
"ntprint.exe","c:\windows\syswow64\ntprint.exe"
"odbcad32.exe","c:\windows\syswow64\odbcad32.exe"
"odbcconf.exe","c:\windows\syswow64\odbcconf.exe"
"openfiles.exe","c:\windows\syswow64\openfiles.exe"
"openwith.exe","c:\windows\syswow64\openwith.exe"
"osk.exe","c:\windows\syswow64\osk.exe"
"pathping.exe","c:\windows\syswow64\pathping.exe"
"pcaui.exe","c:\windows\syswow64\pcaui.exe"
"perfhost.exe","c:\windows\syswow64\perfhost.exe"
"perfmon.exe","c:\windows\syswow64\perfmon.exe"
"pickerhost.exe","c:\windows\syswow64\pickerhost.exe"
"ping.exe","c:\windows\syswow64\ping.exe"
"pkgmgr.exe","c:\windows\syswow64\pkgmgr.exe"
"poqexec.exe","c:\windows\syswow64\poqexec.exe"
"powercfg.exe","c:\windows\syswow64\powercfg.exe"
"presentationhost.exe","c:\windows\syswow64\presentationhost.exe"
"prevhost.exe","c:\windows\syswow64\prevhost.exe"
"print.exe","c:\windows\syswow64\print.exe"
"printui.exe","c:\windows\syswow64\printui.exe"
"proquota.exe","c:\windows\syswow64\proquota.exe"
"psr.exe","c:\windows\syswow64\psr.exe"
"qappsrv.exe","c:\windows\syswow64\qappsrv.exe"
"qprocess.exe","c:\windows\syswow64\qprocess.exe"
"query.exe","c:\windows\syswow64\query.exe"
"quser.exe","c:\windows\syswow64\quser.exe"
"qwinsta.exe","c:\windows\syswow64\qwinsta.exe"
"rasautou.exe","c:\windows\syswow64\rasautou.exe"
"rasdial.exe","c:\windows\syswow64\rasdial.exe"
"rasphone.exe","c:\windows\syswow64\rasphone.exe"
"rdpinit.exe","c:\windows\syswow64\rdpinit.exe"
"rdpsa.exe","c:\windows\syswow64\rdpsa.exe"
"rdpsaproxy.exe","c:\windows\syswow64\rdpsaproxy.exe"
"rdpsauachelper.exe","c:\windows\syswow64\rdpsauachelper.exe"
"rdpshell.exe","c:\windows\syswow64\rdpshell.exe"
"rdpsign.exe","c:\windows\syswow64\rdpsign.exe"
"reagentc.exe","c:\windows\syswow64\reagentc.exe"
"recover.exe","c:\windows\syswow64\recover.exe"
"redircmp.exe","c:\windows\syswow64\redircmp.exe"
"redirusr.exe","c:\windows\syswow64\redirusr.exe"
"reg.exe","c:\windows\syswow64\reg.exe"
"regedit.exe","c:\windows\syswow64\regedit.exe"
"regedt32.exe","c:\windows\syswow64\regedt32.exe"
"regini.exe","c:\windows\syswow64\regini.exe"
"register-cimprovider.exe","c:\windows\syswow64\register-cimprovider.exe"
"regsvr32.exe","c:\windows\syswow64\regsvr32.exe"
"rekeywiz.exe","c:\windows\syswow64\rekeywiz.exe"
"relog.exe","c:\windows\syswow64\relog.exe"
"rendom.exe","c:\windows\syswow64\rendom.exe"
"repadmin.exe","c:\windows\syswow64\repadmin.exe"
"replace.exe","c:\windows\syswow64\replace.exe"
"reset.exe","c:\windows\syswow64\reset.exe"
"resmon.exe","c:\windows\syswow64\resmon.exe"
"rmactivate.exe","c:\windows\syswow64\rmactivate.exe"
"rmactivate_isv.exe","c:\windows\syswow64\rmactivate_isv.exe"
"rmactivate_ssp.exe","c:\windows\syswow64\rmactivate_ssp.exe"
"rmactivate_ssp_isv.exe","c:\windows\syswow64\rmactivate_ssp_isv.exe"
"rmclient.exe","c:\windows\syswow64\rmclient.exe"
"robocopy.exe","c:\windows\syswow64\robocopy.exe"
"route.exe","c:\windows\syswow64\route.exe"
"rpcping.exe","c:\windows\syswow64\rpcping.exe"
"rsopprov.exe","c:\windows\syswow64\rsopprov.exe"
"runas.exe","c:\windows\syswow64\runas.exe"
"rundll32.exe","c:\windows\syswow64\rundll32.exe"
"runlegacycplelevated.exe","c:\windows\syswow64\runlegacycplelevated.exe"
"runonce.exe","c:\windows\syswow64\runonce.exe"
"rwinsta.exe","c:\windows\syswow64\rwinsta.exe"
"sc.exe","c:\windows\syswow64\sc.exe"
"schtasks.exe","c:\windows\syswow64\schtasks.exe"
"sdbinst.exe","c:\windows\syswow64\sdbinst.exe"
"sdiagnhost.exe","c:\windows\syswow64\sdiagnhost.exe"
"secedit.exe","c:\windows\syswow64\secedit.exe"
"sethc.exe","c:\windows\syswow64\sethc.exe"
